File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\xampp\htdocs\uscsportsportal\system\database\DB_utility.php,424,215,114,45,57,3,152,674,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\cubrid\cubrid_driver.php,420,159,84,40,61,0,200,727,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\cubrid\cubrid_forge.php,228,100,48,14,25,0,103,427,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\cubrid\cubrid_result.php,178,52,27,10,20,0,106,456,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\cubrid\cubrid_utility.php,80,16,8,4,6,0,58,326,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\ibase\ibase_driver.php,405,145,63,31,53,0,207,771,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\ibase\ibase_forge.php,252,105,51,17,29,0,118,469,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\ibase\ibase_result.php,162,53,31,9,20,0,89,400,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\ibase\ibase_utility.php,70,14,8,3,6,0,50,297,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mssql\mssql_driver.php,542,210,112,51,77,1,255,1007,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mssql\mssql_forge.php,147,47,24,6,14,0,86,391,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mssql\mssql_result.php,199,67,37,13,24,0,108,463,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mssql\mssql_utility.php,78,10,6,1,6,1,62,328,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mysql\mysql_driver.php,494,181,98,47,73,1,240,904,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mysql\mysql_forge.php,244,118,50,19,30,0,96,416,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mysql\mysql_result.php,200,62,34,11,23,0,115,481,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mysql\mysql_utility.php,212,93,55,13,32,1,87,478,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mysqli\mysqli_driver.php,528,223,118,57,74,1,231,874,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mysqli\mysqli_forge.php,245,118,50,19,29,0,98,422,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mysqli\mysqli_result.php,187,59,33,11,20,0,108,463,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mysqli\mysqli_utility.php,214,93,55,13,32,1,89,484,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\oci8\oci8_driver.php,704,297,162,62,92,3,315,1228,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\oci8\oci8_forge.php,150,52,27,8,16,0,82,385,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\oci8\oci8_result.php,230,82,50,13,30,0,118,461,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\oci8\oci8_utility.php,69,9,5,1,5,1,55,310,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\odbc\odbc_driver.php,375,109,60,25,50,0,216,778,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\odbc\odbc_forge.php,87,10,6,0,8,0,69,344,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\odbc\odbc_result.php,269,117,65,26,32,0,120,496,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\odbc\odbc_utility.php,64,8,4,1,4,0,52,302,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\pdo_driver.php,397,164,88,31,53,0,180,722,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\pdo_forge.php,66,6,4,0,5,0,55,309,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\pdo_result.php,199,78,42,17,22,0,99,432,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\pdo_utility.php,64,8,4,1,4,0,52,302,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_4d_driver.php,201,55,31,8,23,0,123,523,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_4d_forge.php,218,75,38,8,22,0,121,476,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_cubrid_driver.php,251,88,49,15,33,0,130,560,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_cubrid_forge.php,228,100,48,14,25,0,103,429,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_dblib_driver.php,333,134,74,27,44,1,155,672,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_dblib_forge.php,145,47,24,6,14,0,84,385,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_firebird_driver.php,264,100,40,13,29,0,135,567,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_firebird_forge.php,238,103,49,17,27,0,108,448,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_ibm_driver.php,245,98,49,15,30,0,117,505,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_ibm_forge.php,155,45,23,4,16,0,94,417,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_informix_driver.php,310,142,51,15,33,1,135,564,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_informix_forge.php,164,56,26,5,15,0,93,408,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_mysql_driver.php,318,127,70,28,41,0,150,638,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_mysql_forge.php,257,120,52,19,31,0,106,439,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_oci_driver.php,296,120,65,20,38,2,138,572,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_oci_forge.php,150,52,27,8,16,0,82,386,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_odbc_driver.php,267,88,51,14,33,0,146,596,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_odbc_forge.php,71,8,4,0,6,0,57,317,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_pgsql_driver.php,380,151,82,29,52,0,177,662,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_pgsql_forge.php,211,96,42,16,23,0,92,414,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_sqlite_driver.php,220,77,44,18,29,0,114,503,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_sqlite_forge.php,239,82,43,14,27,0,130,529,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_sqlsrv_driver.php,370,161,91,33,52,1,157,686,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_sqlsrv_forge.php,145,47,24,6,14,0,84,385,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\postgre\postgre_driver.php,640,274,144,60,91,1,275,1005,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\postgre\postgre_forge.php,206,95,41,16,22,0,89,408,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\postgre\postgre_result.php,183,55,29,11,20,0,108,463,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\postgre\postgre_utility.php,79,10,6,1,6,0,63,323,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlite\sqlite_driver.php,358,121,67,31,49,0,188,707,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlite\sqlite_forge.php,206,67,34,11,22,0,117,488,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlite\sqlite_result.php,165,47,25,10,18,0,100,446,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlite\sqlite_utility.php,62,8,4,1,4,0,50,296,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlite3\sqlite3_driver.php,375,138,71,37,50,0,187,705,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlite3\sqlite3_forge.php,226,80,41,14,25,0,121,509,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlite3\sqlite3_result.php,195,70,36,12,23,0,102,461,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlite3\sqlite3_utility.php,62,8,4,1,4,0,50,295,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlsrv\sqlsrv_driver.php,569,237,122,57,79,1,253,982,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlsrv\sqlsrv_forge.php,145,47,24,6,14,0,84,384,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlsrv\sqlsrv_result.php,194,61,33,10,24,0,109,453,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\sqlsrv\sqlsrv_utility.php,78,10,6,1,7,1,61,322,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\array_helper.php,116,29,14,6,11,0,76,418,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\captcha_helper.php,254,145,80,16,28,0,81,394,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\cookie_helper.php,114,25,12,4,8,0,81,439,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\date_helper.php,797,446,223,98,105,2,246,1244,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\directory_helper.php,102,33,18,7,9,0,60,366,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\download_helper.php,159,70,41,11,17,0,72,424,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\email_helper.php,85,16,7,4,6,0,63,339,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\file_helper.php,452,242,121,58,48,9,162,936,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\form_helper.php,1008,538,257,121,133,5,337,1330,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\html_helper.php,411,202,100,39,47,3,162,719,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\inflector_helper.php,247,127,35,20,22,19,98,492,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\language_helper.php,76,14,7,3,6,0,56,335,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\number_helper.php,95,36,21,4,6,0,53,319,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\path_helper.php,83,21,10,4,6,0,56,337,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\security_helper.php,138,41,18,11,13,0,84,391,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\smiley_helper.php,256,127,69,26,34,1,95,533,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\string_helper.php,306,119,55,33,25,3,162,689,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\text_helper.php,550,292,148,60,67,1,191,1035,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\typography_helper.php,105,27,14,6,8,0,70,366,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\url_helper.php,570,300,139,61,69,7,201,953,0,0
D:\xampp\htdocs\uscsportsportal\system\helpers\xml_helper.php,91,25,12,5,10,0,56,326,0,0
D:\xampp\htdocs\uscsportsportal\system\language\english\calendar_lang.php,85,47,46,0,2,0,36,263,0,0
D:\xampp\htdocs\uscsportsportal\system\language\english\date_lang.php,95,56,55,0,3,0,36,263,0,0
D:\xampp\htdocs\uscsportsportal\system\language\english\db_lang.php,64,26,25,0,2,0,36,263,0,0
D:\xampp\htdocs\uscsportsportal\system\language\english\email_lang.php,59,21,20,0,2,0,36,263,0,0
D:\xampp\htdocs\uscsportsportal\system\language\english\form_validation_lang.php,73,36,74,0,1,0,36,263,0,0
D:\xampp\htdocs\uscsportsportal\system\language\english\ftp_lang.php,52,14,13,0,2,0,36,263,0,0
D:\xampp\htdocs\uscsportsportal\system\language\english\imglib_lang.php,57,19,18,0,2,0,36,263,0,0
D:\xampp\htdocs\uscsportsportal\system\language\english\migration_lang.php,48,10,9,0,2,0,36,263,0,0
D:\xampp\htdocs\uscsportsportal\system\language\english\number_lang.php,45,7,6,0,2,0,36,263,0,0
D:\xampp\htdocs\uscsportsportal\system\language\english\pagination_lang.php,44,6,5,0,2,0,36,263,0,0
D:\xampp\htdocs\uscsportsportal\system\language\english\profiler_lang.php,61,23,22,0,2,0,36,263,0,0
D:\xampp\htdocs\uscsportsportal\system\language\english\unit_test_lang.php,59,21,20,0,2,1,36,269,0,0
D:\xampp\htdocs\uscsportsportal\system\language\english\upload_lang.php,56,18,17,0,2,0,36,263,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Calendar.php,547,202,111,25,59,1,286,1056,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Cart.php,568,223,125,51,76,0,269,1467,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Driver.php,343,139,80,22,37,0,167,759,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Email.php,2315,1186,665,244,370,20,759,2469,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Encrypt.php,481,174,102,40,68,0,239,897,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Encryption.php,927,515,231,106,109,2,303,1231,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Form_validation.php,1596,768,395,175,208,5,620,2464,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Ftp.php,668,284,146,83,98,2,286,1031,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Image_lib.php,1826,928,568,182,246,7,652,2492,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Javascript.php,857,271,137,54,104,2,482,1770,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Migration.php,447,191,114,35,69,0,187,830,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Pagination.php,698,274,164,40,99,0,325,1146,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Parser.php,249,88,48,11,31,0,130,520,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Profiler.php,571,321,140,32,81,0,169,690,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Table.php,538,245,126,36,82,0,211,839,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Trackback.php,557,259,144,48,80,2,218,796,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Typography.php,425,111,56,20,38,2,276,1433,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Unit_test.php,408,170,95,18,53,0,185,627,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Upload.php,1309,604,344,148,176,7,529,2148,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\User_agent.php,684,294,164,65,97,0,293,892,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Xmlrpc.php,1924,964,533,161,249,11,711,2000,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Xmlrpcs.php,626,344,179,64,97,1,185,602,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Zip.php,485,230,103,27,57,33,198,973,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Cache\Cache.php,256,76,48,12,29,0,151,657,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Cache\drivers\Cache_apc.php,211,69,33,16,27,0,115,556,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Cache\drivers\Cache_dummy.php,173,40,20,9,20,0,113,523,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Cache\drivers\Cache_file.php,287,114,59,28,39,0,134,601,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Cache\drivers\Cache_memcached.php,290,122,55,19,35,0,133,590,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Cache\drivers\Cache_redis.php,321,129,65,24,40,1,152,610,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Cache\drivers\Cache_wincache.php,207,63,34,13,26,0,118,566,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Javascript\Jquery.php,1077,359,202,60,150,3,568,1932,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Session\Session.php,891,483,239,82,124,1,284,1059,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Session\SessionHandlerInterface.php,60,10,8,0,3,0,47,290,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Session\Session_driver.php,149,37,17,4,16,0,96,428,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Session\drivers\Session_database_driver.php,390,194,102,51,51,0,145,568,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Session\drivers\Session_files_driver.php,363,183,97,45,44,1,136,596,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Session\drivers\Session_memcached_driver.php,364,172,101,46,48,1,144,565,0,0
D:\xampp\htdocs\uscsportsportal\system\libraries\Session\drivers\Session_redis_driver.php,382,192,105,46,47,2,143,557,0,0
